ID,NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
0,100000,ArrayList,6.75,10.76,3.08,3.13,0.11,10.86
1,100000,ArrayList_Initialized,2.94,5.23,0.28,0.26,0.07,5.09
2,100000,LinkedList,8.39,1.57,2.8,0.84,1.5,0.17
3,100000,Vector,7.39,10.81,2.67,3.13,0.16,14.04
4,100000,Vector_Initialized,2.96,5.18,0.27,0.26,0.07,5.1
5,150000,ArrayList,5.44,12.7,0.62,0.62,0.12,12.77
6,150000,ArrayList_Initialized,4.16,12.73,0.61,0.6,0.12,12.76
7,150000,LinkedList,8.57,1.5,2.13,2.12,1.45,0.11
8,150000,Vector,4.9,11.94,1,0.73,0.15,11.99
9,150000,Vector_Initialized,1.74,12.37,0.54,0.57,0.1,11.47
10,200000,ArrayList,2.97,20.61,0.97,0.9,0.13,20.31
11,200000,ArrayList_Initialized,2.17,20.08,0.91,0.89,0.13,20.26
12,200000,LinkedList,2.13,2.31,3.27,3.27,2.25,0.13
13,200000,Vector,2.58,20.17,0.96,0.92,0.15,20.49
14,200000,Vector_Initialized,2.43,20.25,0.91,0.89,0.14,20.23
15,250000,ArrayList,2.48,31.32,1.5,1.41,0.17,31.52
16,250000,ArrayList_Initialized,2.04,31.88,1.43,1.44,0.17,31.82
17,250000,LinkedList,2.48,3.95,5.54,5.15,3.52,0.15
18,250000,Vector,1.9,31.44,1.45,1.42,0.16,32.42
19,250000,Vector_Initialized,1.72,32.18,1.49,1.76,0.18,32.15
20,300000,ArrayList,4.73,45.4,2.13,2.1,0.2,45.4
21,300000,ArrayList_Initialized,4.32,45.54,2.1,2.08,0.21,47.63
22,300000,LinkedList,6,5.16,7.33,7.41,5.1,0.18
23,300000,Vector,4.98,45.55,2.12,2.07,0.2,46.06
24,300000,Vector_Initialized,4.8,46.23,2.08,2.05,0.21,45.61
25,350000,ArrayList,5.03,72.75,2.95,2.96,0.24,74.64
26,350000,ArrayList_Initialized,6.1,74.55,2.94,2.91,0.24,74.5
27,350000,LinkedList,1.97,6.94,9.95,9.94,6.86,0.21
28,350000,Vector,2.76,72.64,2.94,2.89,0.25,74.18
29,350000,Vector_Initialized,2.46,73.13,2.99,2.92,0.26,74.54
30,400000,ArrayList,3.9,114.77,3.86,3.84,0.26,116.72
31,400000,ArrayList_Initialized,3.37,115.41,4,3.97,0.27,119.89
32,400000,LinkedList,4.82,9.13,13,13,9.11,0.23
33,400000,Vector,4.72,118.49,3.76,3.75,0.28,115.63
34,400000,Vector_Initialized,3.72,114.23,3.78,3.9,0.26,118.33
35,450000,ArrayList,8.66,163.23,5.16,5.23,0.31,163.08
36,450000,ArrayList_Initialized,7.91,160.09,5.04,4.97,0.31,161.74
37,450000,LinkedList,10.93,11.38,16.43,16.65,11.92,0.26
38,450000,Vector,10.17,163.61,4.82,4.86,0.3,163.12
39,450000,Vector_Initialized,9.18,161.13,4.97,5.09,0.31,163.35
40,500000,ArrayList,14.39,285.31,6.23,6.34,0.35,206.77
41,500000,ArrayList_Initialized,3.87,212.59,6.16,6.39,0.35,204.41
42,500000,LinkedList,3.21,14.08,21.77,20.33,14.1,0.28
43,500000,Vector,4.18,205.91,6.58,6.44,0.37,205.93
44,500000,Vector_Initialized,9.16,206.15,6.23,6.28,0.36,209.7
45,550000,ArrayList,10.33,249.02,7.6,7.45,0.38,249.66
46,550000,ArrayList_Initialized,9.7,243.05,7.12,7.19,0.38,248.22
47,550000,LinkedList,10.32,16.91,24.43,24.87,16.78,0.32
48,550000,Vector,11.54,254.38,7.29,7.45,0.38,252.33
49,550000,Vector_Initialized,11.37,252.91,7.73,7.63,0.4,252.3
50,600000,ArrayList,11.96,298.16,8.7,8.95,0.11,312.41
51,600000,ArrayList_Initialized,10.89,348.69,12.69,9.03,0.08,347.75
52,600000,LinkedList,11.78,21.12,31.23,38.89,28.49,0.47
53,600000,Vector,24.57,344.22,10.81,11.49,0.16,339.05
54,600000,Vector_Initialized,12.41,321.03,13.44,9.39,0.08,330.93
55,650000,ArrayList,10.29,409.1,12.69,10.54,0.06,376.79
56,650000,ArrayList_Initialized,7.63,370.02,10.73,10.8,0.06,369.06
57,650000,LinkedList,9.18,24.43,35.49,35.68,24.37,0.41
58,650000,Vector,8.85,388.88,10.51,11.09,0.33,383.3
59,650000,Vector_Initialized,8.83,371.11,10.97,11.25,0.06,371.72
60,700000,ArrayList,17.95,451.45,12.9,12.01,0.11,471.59
61,700000,ArrayList_Initialized,17.03,453.93,15.18,15.1,0.06,445.46
62,700000,LinkedList,16.14,28.09,41.02,40.68,27.31,0.47
63,700000,Vector,15.25,415.49,12.58,11.83,0.05,422.79
64,700000,Vector_Initialized,14.55,418.98,15.81,15.09,0.06,424.41
65,750000,ArrayList,19.78,490.68,21.16,15.06,0.07,501.8
66,750000,ArrayList_Initialized,16.26,511.69,15.67,15.66,0.18,496.85
67,750000,LinkedList,121.31,37.48,54.14,49.12,31.86,0.42
68,750000,Vector,9.02,512.33,14.69,14.86,0.08,503.78
69,750000,Vector_Initialized,24.62,498.43,15.07,14.4,0.18,495.37
70,800000,ArrayList,19.98,574.99,18.09,16.89,0.01,567.31
71,800000,ArrayList_Initialized,15.22,560.55,18.32,17.24,0,558.64
72,800000,LinkedList,111.19,41.27,58.68,55.11,35.58,0.44
73,800000,Vector,9.39,573.12,17.19,16.89,0.02,578.87
74,800000,Vector_Initialized,7.66,572.25,17.01,16.8,0.02,574.05
75,850000,ArrayList,21.99,623.88,19.03,19.42,0.01,641.74
76,850000,ArrayList_Initialized,15.81,621.99,22.82,20.47,0.01,636.04
77,850000,LinkedList,16.82,40.22,60.9,61.65,40.72,0.14
78,850000,Vector,22.94,637.85,19.41,19.68,0.02,637.47
79,850000,Vector_Initialized,21.06,631.9,18.67,19.16,0.02,634.87
80,900000,ArrayList,17.1,722.36,20.88,20.77,0.01,719.93
81,900000,ArrayList_Initialized,13.36,701.1,21.23,20.94,0.01,717.23
82,900000,LinkedList,11.61,46.15,68.39,68.56,45.56,0.1
83,900000,Vector,17.21,706.49,22.54,21.97,0.02,725.7
84,900000,Vector_Initialized,13.46,741.18,22.77,24.17,0.02,736.65
85,950000,ArrayList,22.76,820.6,23.29,28.18,0.01,796.54
86,950000,ArrayList_Initialized,17.7,794.04,21.73,24.28,0.01,793.51
87,950000,LinkedList,7.16,55.92,79.99,78.16,50.43,0.12
88,950000,Vector,9.73,786.4,23.41,23.9,0.02,818.25
89,950000,Vector_Initialized,9.27,819.66,24.08,24.02,0.02,803.34
90,1000000,ArrayList,21.03,902.22,26.69,27.51,0.01,904.94
91,1000000,ArrayList_Initialized,11.91,947.52,27.13,27.71,0.01,935.1
92,1000000,LinkedList,6.3,56.65,84.98,83.62,56.6,0.12
93,1000000,Vector,11.56,868.9,26.51,26.83,0.02,889.89
94,1000000,Vector_Initialized,10.21,909.39,31.84,28.76,0.02,889.32
95,1050000,ArrayList,27.65,968.47,27.7,28.03,0.01,985.19
96,1050000,ArrayList_Initialized,20.16,1039.33,31.26,29.49,0.01,998.3
97,1050000,LinkedList,20.61,63.55,96.07,97.17,87.58,0.21
98,1050000,Vector,29.03,991.8,30.04,29.48,0.02,992.47
99,1050000,Vector_Initialized,23.89,971.41,29.73,30.34,0.02,992.26
100,1100000,ArrayList,29.18,1019.39,29.89,29.45,0.01,982.18
101,1100000,ArrayList_Initialized,21.64,1001.73,29.69,29.59,0.01,1016.25
102,1100000,LinkedList,20.12,61.82,95.9,95.88,62.15,0.05
103,1100000,Vector,28.91,1009.48,31.05,30.94,0.02,1002.61
104,1100000,Vector_Initialized,21.54,987.37,30.1,30.7,0.02,998.62
105,1150000,ArrayList,24.56,968.8,27.77,28.03,0.01,968.61
106,1150000,ArrayList_Initialized,18.26,962.97,29.14,29.89,0.01,1012.16
107,1150000,LinkedList,234.37,72.77,105.33,95.98,62.49,0.04
108,1150000,Vector,10.57,992.86,30.65,30.1,0.02,1005.27
109,1150000,Vector_Initialized,7.41,998.84,31.45,31.36,0.03,1008.78
110,1200000,ArrayList,25.02,1019.25,29.97,32.8,0.01,1012.15
111,1200000,ArrayList_Initialized,23.47,1006.68,30.29,33.85,0.01,1000.89
112,1200000,LinkedList,21.36,61.08,90.51,92.03,61.15,0.05
113,1200000,Vector,29.68,975.27,29.09,29.46,0.02,994.44
114,1200000,Vector_Initialized,26.02,993.09,29.29,30.08,0.02,993.09
115,1250000,ArrayList,18.32,996.58,32.45,31.56,0.01,1003.12
116,1250000,ArrayList_Initialized,17.15,1009.75,31.91,30.09,0.01,1007.63
117,1250000,LinkedList,17.75,61.73,97.32,96.95,61.73,0.04
118,1250000,Vector,20.09,1014.33,36.96,33.93,0.03,1011.41
119,1250000,Vector_Initialized,22.16,1014.47,32.8,33.35,0.02,1014
120,1300000,ArrayList,25.56,1003.45,29.86,29.78,0.01,1007.13
121,1300000,ArrayList_Initialized,19.3,1011.83,29.7,31.33,0.01,1015.86
122,1300000,LinkedList,19.17,63.74,93.81,94.77,62.02,0.05
123,1300000,Vector,27.99,1010.48,33.07,32.03,0.02,1003.01
124,1300000,Vector_Initialized,21.29,992.23,34.33,30.03,0.02,996.37
125,1350000,ArrayList,14.59,1023.14,30.38,30.09,0.01,1008.07
126,1350000,ArrayList_Initialized,9.68,975.03,32.52,30.55,0.01,1010.38
127,1350000,LinkedList,7.61,62.45,92.87,93.47,61.53,0.06
128,1350000,Vector,15.19,996.8,31.17,31.05,0.02,1023.68
129,1350000,Vector_Initialized,12.04,986.94,32.67,30.87,0.02,1040.03
130,1400000,ArrayList,14.07,1035.02,28.75,29.15,0.01,1007.96
131,1400000,ArrayList_Initialized,13.29,998.19,28.69,27.2,0.01,1002.4
132,1400000,LinkedList,10.9,62.28,92.53,93.76,61.35,0.05
133,1400000,Vector,17.12,996.9,33.64,31.91,0.02,1007.14
134,1400000,Vector_Initialized,13.3,998.57,29.34,31.1,0.02,1005.26
135,1450000,ArrayList,14.61,984.82,30.55,29.66,0.01,1015.21
136,1450000,ArrayList_Initialized,13.79,970.52,28.05,27.85,0.01,987.21
137,1450000,LinkedList,10.62,62.91,91.5,90.9,61.91,0.05
138,1450000,Vector,122.51,997.15,30.03,29.34,0.02,993.15
139,1450000,Vector_Initialized,9.71,990.29,29.59,29.73,0.02,1023.34
140,1500000,ArrayList,13.31,991.99,29.26,29.38,0.01,1016.84
141,1500000,ArrayList_Initialized,11.49,996.38,31.76,30.17,0.01,990.32
142,1500000,LinkedList,10.8,63.46,92.18,90.15,62.1,0.03
143,1500000,Vector,18.08,980.44,31.01,31.16,0.02,994.34
144,1500000,Vector_Initialized,12.12,993.93,30.59,29.56,0.03,1012.44
145,1550000,ArrayList,18.81,1000.22,30.58,30.02,0.01,1002.53
146,1550000,ArrayList_Initialized,15.9,983.77,30.19,29.62,0.01,1007.65
147,1550000,LinkedList,13.57,62.2,93.69,92.26,61.43,0.05
148,1550000,Vector,20.03,989.12,29.04,28,0.03,978.15
149,1550000,Vector_Initialized,12.8,989.81,29.09,28.96,0.02,966.79
150,1600000,ArrayList,21.73,988.07,31.23,31,0.01,1017.92
151,1600000,ArrayList_Initialized,15.42,1024.45,29.39,31.85,0.01,1007.76
152,1600000,LinkedList,13.33,61.39,93.26,100.89,63.13,0.05
153,1600000,Vector,21.78,1044.86,32.22,29.5,0.02,978.74
154,1600000,Vector_Initialized,19.89,988.11,29.5,30.7,0.02,1001.03
155,1650000,ArrayList,25.96,1021.23,37.1,31.96,0.01,1015.43
156,1650000,ArrayList_Initialized,17.72,974.9,30.27,30.39,0.01,995.88
157,1650000,LinkedList,19.01,61.26,97.21,96.97,61.9,0.06
158,1650000,Vector,25.44,1016.27,36.97,33.46,0.02,1021.45
159,1650000,Vector_Initialized,28.85,1261.72,35.93,41.6,0.04,1090.17
160,1700000,ArrayList,161.45,1029.59,30.77,28.73,0.01,1004.85
161,1700000,ArrayList_Initialized,8.55,1045.78,33.11,31.27,0.01,1293.77
162,1700000,LinkedList,5.43,74.89,105.94,107.85,76.21,0.04
163,1700000,Vector,9.38,1076.29,29.47,30.34,0.02,1034.77
164,1700000,Vector_Initialized,8.53,1081.79,42.6,40.66,0.03,1015.65
165,1750000,ArrayList,17.97,1097.39,41.49,42.82,0.01,1024.5
166,1750000,ArrayList_Initialized,11.99,1028.58,31.8,31.83,0.02,993.26
167,1750000,LinkedList,10.85,60.6,92.08,96.19,65.02,0.16
168,1750000,Vector,14.14,995.88,30.24,30.93,0.02,1013.73
169,1750000,Vector_Initialized,15.24,1009.24,30.57,29.25,0.02,1006.81
170,1800000,ArrayList,19.35,1017.37,32.95,27.84,0.01,1133.25
171,1800000,ArrayList_Initialized,13.97,1136.87,42.93,39.21,0.01,1021.91
172,1800000,LinkedList,11.05,60.8,96.01,108.84,67.73,0.06
173,1800000,Vector,14.76,996.94,30.76,32.62,0.02,1056.91
174,1800000,Vector_Initialized,15.26,1001.19,31.73,32.03,0.02,1020.74
175,1850000,ArrayList,14.82,985.85,29.43,28.25,0.01,986.76
176,1850000,ArrayList_Initialized,15,992.96,30.56,30.17,0.01,1006.82
177,1850000,LinkedList,12.78,60.6,92.52,101.82,64.92,0.05
178,1850000,Vector,21.16,987.52,30.16,28.88,0.02,994.02
179,1850000,Vector_Initialized,16.21,990.48,33.06,30.96,0.02,995.26
180,1900000,ArrayList,26.81,1072.7,28.99,30.28,0.01,968.48
181,1900000,ArrayList_Initialized,15.93,976.66,34.77,31.22,0.01,978.17
182,1900000,LinkedList,16.23,61.04,92.72,91.72,60.35,0.05
183,1900000,Vector,23.37,1015.67,34.04,36,0.02,1011.68
184,1900000,Vector_Initialized,14.58,1137.8,32.02,35.33,0.05,1081.13
185,1950000,ArrayList,10.98,1084.82,30.91,34.76,0.01,1228.64
186,1950000,ArrayList_Initialized,17.28,1299.91,45.35,36.3,0.01,1152.15
187,1950000,LinkedList,11.16,71.72,105.47,107.12,73.06,0.04
188,1950000,Vector,17.83,1186.9,46.24,45.24,0.06,1190.91
189,1950000,Vector_Initialized,15.72,1047.38,34.54,33.58,0.02,1016.18
190,2000000,ArrayList,27.59,974.95,31.83,30.06,0.01,972.3
191,2000000,ArrayList_Initialized,19.9,1029.62,50.6,45.74,0.01,1106.19
192,2000000,LinkedList,284.27,83.53,127.04,116.63,74.12,0.07
193,2000000,Vector,10.44,1675.16,45.67,43.76,0.03,1429.46
194,2000000,Vector_Initialized,10.84,1349.35,39.95,38.82,0.04,1236.53
195,2050000,ArrayList,19.78,1228.67,36.99,35.16,0.01,1166.25
196,2050000,ArrayList_Initialized,10.92,1095.27,32.56,31.83,0.01,1084.48
197,2050000,LinkedList,11.27,73.71,101.55,104.71,69.61,0.08
198,2050000,Vector,13.2,1078.6,37.09,36.56,0.03,1266.51
199,2050000,Vector_Initialized,19.43,1219.32,37.35,38.91,0.03,1216.1
200,2100000,ArrayList,32.51,1249.03,37.4,36.55,0.01,1136.11
201,2100000,ArrayList_Initialized,25.08,1115.89,33.17,32.86,0.01,1081.84
202,2100000,LinkedList,167.16,84.7,114.1,102.85,66.16,0.06
203,2100000,Vector,9.81,1029.21,33.11,33.3,0.02,1091.07
204,2100000,Vector_Initialized,10.85,1063.15,31.55,31.26,0.02,1026.91
205,2150000,ArrayList,88.96,1068.18,32.11,29.8,0.01,1045.19
206,2150000,ArrayList_Initialized,9.21,1022.52,29.55,30.04,0.01,1024.69
207,2150000,LinkedList,9.52,68.44,95.37,97.63,63.74,0.04
208,2150000,Vector,12.04,1024.5,30.89,31.56,0.02,997.06
209,2150000,Vector_Initialized,9.15,1044.3,30.45,30.11,0.02,1024.99
210,2200000,ArrayList,10.69,1007.05,30.2,29.4,0.01,1072.64
211,2200000,ArrayList_Initialized,9.27,1050.83,31.02,30.69,0.01,1031.94
212,2200000,LinkedList,9.07,77.75,104.34,97.65,63.6,0.06
213,2200000,Vector,10.02,1007.84,31.93,29.59,0.02,1019.29
214,2200000,Vector_Initialized,10.13,1025.75,32.18,30.78,0.02,1070.81
215,2250000,ArrayList,14.41,1041.79,32.39,31.41,0.01,1081.47
216,2250000,ArrayList_Initialized,13.58,1064.09,30.27,30.06,0.01,1023.68
217,2250000,LinkedList,10.79,69.44,96.75,96.47,66.24,0.05
218,2250000,Vector,19.63,1065.27,30.23,31,0.02,1044.72
219,2250000,Vector_Initialized,15.94,1030.61,31.63,31.41,0.03,1020.54
220,2300000,ArrayList,17.15,1017.37,28.91,28.94,0.01,1026.01
221,2300000,ArrayList_Initialized,15.67,1035.09,31.31,31.18,0.01,1017.38
222,2300000,LinkedList,13.83,63.18,92.28,95.91,61.28,0.07
223,2300000,Vector,22.1,1019.95,30.74,32.01,0.02,1053.46
224,2300000,Vector_Initialized,17.93,1037.61,33.45,30.89,0.03,1034.96
225,2350000,ArrayList,22.16,1053.53,30.9,30.85,0.01,1037.68
226,2350000,ArrayList_Initialized,21.27,1065.37,30.9,30.08,0.01,1032.39
227,2350000,LinkedList,19.98,68.37,97.12,96.3,61.91,0.05
228,2350000,Vector,138.18,1069.29,31.58,30.79,0.03,1077.81
229,2350000,Vector_Initialized,9.3,1030.54,32.19,31.84,0.02,1053.37
230,2400000,ArrayList,11.1,1017.75,29.74,30.05,0.01,1086.25
231,2400000,ArrayList_Initialized,10.79,1047.89,30.36,30.33,0.01,1029.08
232,2400000,LinkedList,8.23,68.49,95.31,95.15,69.7,0.08
233,2400000,Vector,14.16,1088.99,35.05,37.17,0.04,1138.96
234,2400000,Vector_Initialized,12.83,1144.64,34.6,33.64,0.02,1068.72
235,2450000,ArrayList,13.29,1030.83,30.67,30.12,0.01,1051.82
236,2450000,ArrayList_Initialized,13.2,1081.07,31.53,31.24,0.01,1028.23
237,2450000,LinkedList,10.45,68.4,96.34,97.61,64.05,0.05
238,2450000,Vector,17.7,1083.76,29.94,31.1,0.02,1022.81
239,2450000,Vector_Initialized,14.01,1026.7,31.21,32.27,0.02,1028.37
240,2500000,ArrayList,19.28,1034.72,31.96,34.25,0.01,1037.95
241,2500000,ArrayList_Initialized,13.43,1029.23,32.86,32.15,0.01,1028.87
242,2500000,LinkedList,10.99,68.04,114.37,103.05,63.75,0.05
243,2500000,Vector,13.29,1049.02,29.02,29.04,0.03,1038.97
244,2500000,Vector_Initialized,15.4,1067.79,34.17,33.27,0.02,1045.16
245,2550000,ArrayList,14.81,1056.35,30.53,31.23,0.01,1035.33
246,2550000,ArrayList_Initialized,15.57,1038.64,32.14,29.02,0.01,1072.58
247,2550000,LinkedList,13.37,64.17,93.73,93.86,62.21,0.05
248,2550000,Vector,19.91,1023.85,31.16,31.5,0.03,1041.15
249,2550000,Vector_Initialized,16.89,1010.66,31.53,30.76,0.03,1137.43
250,2600000,ArrayList,19.76,1158.23,34.77,35.63,0.01,1149.29
251,2600000,ArrayList_Initialized,15.02,1023.03,30.19,29.7,0.01,1094.55
252,2600000,LinkedList,15.06,77.07,110.93,109.1,71.04,0.07
253,2600000,Vector,20.08,1144.75,36.4,37.41,0.02,1157.75
254,2600000,Vector_Initialized,16.5,1049.5,31.15,31.27,0.02,1045.11
255,2650000,ArrayList,16.14,1022.77,29.55,29.81,0.01,1031.16
256,2650000,ArrayList_Initialized,16.26,1024.05,30.54,31.66,0.01,1027.48
257,2650000,LinkedList,14.84,68.1,95.3,95.95,62.02,0.06
258,2650000,Vector,19.02,1008.28,35,32.15,0.02,1008.3
259,2650000,Vector_Initialized,17.77,1023.89,31.3,32.1,0.02,1029.77
260,2700000,ArrayList,18.11,1026.46,29.82,29.44,0.01,1029.41
261,2700000,ArrayList_Initialized,12.5,1034.61,33.19,31.05,0.01,1542.89
262,2700000,LinkedList,10.53,77.93,106.53,100.64,65.09,0.06
263,2700000,Vector,12.81,1062.9,40.58,35.08,0.02,1080.42
264,2700000,Vector_Initialized,16.94,1226.6,44.16,41.74,0.03,1190.01
265,2750000,ArrayList,19.45,1028.54,31.08,30.11,0.01,1020.69
266,2750000,ArrayList_Initialized,15.84,1100.9,30.49,29.56,0.01,1010.16
267,2750000,LinkedList,10.44,61.27,90.95,90.91,60.57,0.04
268,2750000,Vector,16.13,995.67,30.4,30.64,0.02,1007.67
269,2750000,Vector_Initialized,14.8,995.71,30.85,30.92,0.02,1118.46
270,2800000,ArrayList,16.71,1183.85,35.41,35.08,0.01,1111.42
271,2800000,ArrayList_Initialized,12.89,1041.17,31.3,33.56,0.01,1044.42
272,2800000,LinkedList,9.44,68.49,97.76,96.11,62.66,0.05
273,2800000,Vector,160.7,1085.41,33.12,31.17,0.03,1086.1
274,2800000,Vector_Initialized,8.78,1040.05,30.99,30.69,0.02,1077.07
275,2850000,ArrayList,24.72,1057.04,30.4,32.74,0.01,1032.44
276,2850000,ArrayList_Initialized,20.05,1119.8,37.17,35.9,0.01,1132.74
277,2850000,LinkedList,25.58,76.06,107.59,105.46,72.62,0.06
278,2850000,Vector,27.76,1128.63,33.16,33.13,0.02,1054.85
279,2850000,Vector_Initialized,28.21,1031.62,31.04,31.01,0.02,1032.74
280,2900000,ArrayList,27.23,1026.98,29.81,28.76,0.01,1011.43
281,2900000,ArrayList_Initialized,20.06,1028.45,30.66,31.78,0.01,1042.68
282,2900000,LinkedList,23.12,71.19,101.8,101.74,71.27,0.06
283,2900000,Vector,28.39,1067.05,32.95,32.11,0.02,1103.86
284,2900000,Vector_Initialized,23.4,1023.69,31.2,31.84,0.02,1037.15
285,2950000,ArrayList,12.56,1036.01,29.33,30.5,0.01,1026.36
286,2950000,ArrayList_Initialized,9.47,1032,34.09,31.83,0.01,1010.88
287,2950000,LinkedList,8.68,72.1,101.9,98.97,68.07,0.06
288,2950000,Vector,11.81,1043.04,32.03,33,0.03,1063.76
289,2950000,Vector_Initialized,13.23,1019.51,31.04,30.95,0.02,1026.62
290,3000000,ArrayList,15.17,1039.66,31.63,31.72,0.01,1021.08
291,3000000,ArrayList_Initialized,13.4,1037.82,31.4,31.38,0.01,1021.7
292,3000000,LinkedList,12.24,69,95.6,96.51,89.09,0.05
293,3000000,Vector,15.26,1072.74,37.76,38.49,0.02,1090.39
294,3000000,Vector_Initialized,15.17,1090.1,31.44,31.79,0.02,1023.45
295,3050000,ArrayList,13.79,1008.77,31.44,31.24,0.01,1036
296,3050000,ArrayList_Initialized,11.16,1017.66,30.89,29.92,0.01,1038.72
297,3050000,LinkedList,11.18,68.49,99.8,95.49,62.17,0.04
298,3050000,Vector,13.15,1054.19,33.7,34.45,0.02,1037.51
299,3050000,Vector_Initialized,13.07,1032.36,31.26,33.26,0.02,1055.22
300,3100000,ArrayList,15.08,1038.05,30.66,29.47,0.01,1070.41
301,3100000,ArrayList_Initialized,14.24,1032.97,32.42,31.37,0.01,1040.48
302,3100000,LinkedList,13.65,66.26,94.71,95.4,62.03,0.05
303,3100000,Vector,16.85,1038.75,33.66,33.36,0.02,1045.56
304,3100000,Vector_Initialized,19.66,1011.67,30.68,28.74,0.02,1046.13
305,3150000,ArrayList,23.57,1053.4,31.73,31.5,0.01,1058.32
306,3150000,ArrayList_Initialized,18.36,1111.53,33.25,32.51,0.01,1036.59
307,3150000,LinkedList,15.66,68.95,96.32,96.5,63.1,0.05
308,3150000,Vector,24.8,1075.48,34.94,33.28,0.02,1042.67
309,3150000,Vector_Initialized,17.4,1021.2,32.44,30.56,0.02,1038.66
310,3200000,ArrayList,28.29,1059.74,30.78,34.69,0.01,1038.02
311,3200000,ArrayList_Initialized,18.49,1002.62,31.6,31.21,0.01,1039.59
312,3200000,LinkedList,19.49,64.24,97.51,96.72,62.75,0.05
313,3200000,Vector,27.42,1025.03,32.44,31.83,0.02,1062.67
314,3200000,Vector_Initialized,20.59,1029.1,31.95,32.26,0.02,1037.11
315,3250000,ArrayList,16.09,1062.18,30.4,31,0.01,1044.52
316,3250000,ArrayList_Initialized,14.54,1037.47,31.31,33.72,0.01,1040.94
317,3250000,LinkedList,12.52,65.78,99.11,97.84,62.71,0.03
318,3250000,Vector,19.48,1039.85,31,31.79,0.03,1034.76
319,3250000,Vector_Initialized,15.44,999.78,31.81,32,0.02,1074.24
320,3300000,ArrayList,16.63,1037.54,34.07,32.39,0.01,1073.02
321,3300000,ArrayList_Initialized,16.25,1085.45,31.02,30.96,0.01,1058.85
322,3300000,LinkedList,16.06,70.76,97.56,97.18,65.39,0.05
323,3300000,Vector,22.75,999.84,31.83,31.57,0.02,1041.54
324,3300000,Vector_Initialized,17.99,1084.4,32.5,31.85,0.02,1040.59
325,3350000,ArrayList,24.49,1045.56,34.22,30.79,0.01,1034.68
326,3350000,ArrayList_Initialized,16.56,1034.5,29.84,32.72,0.01,1033.42
327,3350000,LinkedList,16.2,69.53,116.51,99.44,65.14,0.06
328,3350000,Vector,19.98,1016.62,31.01,29.65,0.02,1036.3
329,3350000,Vector_Initialized,19.46,1075,37.25,34.1,0.03,1090.72
330,3400000,ArrayList,20.77,1049.2,35.45,34.47,0.01,1043.16
331,3400000,ArrayList_Initialized,22.71,1031.77,36.81,35.82,0.01,1043.58
332,3400000,LinkedList,185.46,86.97,113.21,101.75,67.66,0.05
333,3400000,Vector,9.08,1014.1,29.56,29.67,0.05,1028.79
334,3400000,Vector_Initialized,9.51,1033.39,31.4,31.51,0.02,1043.42
335,3450000,ArrayList,27.34,1002.83,31.16,32.36,0.01,1047.3
336,3450000,ArrayList_Initialized,13.5,1131.39,30.5,29.78,0.01,1027.27
337,3450000,LinkedList,6.59,69.07,96.36,95.12,63.87,0.05
